ingredient,allergen,category,severity
shake,None,Unknown,Safe
sodium hexametaphosp,None,Unknown,Safe
selected habanero pepper,None,Unknown,Safe
diphosphate de disodium,None,Unknown,Safe
vitamine d3,None,Unknown,Safe
juices of sweet potato,None,Unknown,Safe
psyllium husks,None,Unknown,Safe
organic volcano blood orange juice,None,Unknown,Safe
origan  0,None,Unknown,Safe
sliced mushrooms,None,Unknown,Safe
miso (soya beans,None,Unknown,Safe
sodium stearoyl lactylat,None,Unknown,Safe
spinat 8%,None,Unknown,Safe
chocolate flavored coating (polydextrose,None,Unknown,Safe
lemon base (water,None,Unknown,Safe
nature identical orange flavor and mint flavor,None,Unknown,Safe
huile de tournesol 100%,None,Unknown,Safe
taurine (4g/l),None,Unknown,Safe
organic dried whole cranberries (organic whole cranberries,None,Unknown,Safe
oignon 92 %,None,Unknown,Safe
organic butter flavor (milk),None,Unknown,Safe
peppermint oil red 40),None,Unknown,Safe
water (33%),None,Unknown,Safe
natural and artificial flavors(naturl smoke flavor),None,Unknown,Safe
e316,None,Unknown,Safe
emmental en tranche 14,None,Unknown,Safe
extrait de vanille bourbon de madagascar,None,Unknown,Safe
ha de tournesd,None,Unknown,Safe
sauternes (1%),None,Unknown,Safe
four (wheat),None,Unknown,Safe
ryiiv 'piltai,None,Unknown,Safe
chocolat au lait 6% (lait,None,Unknown,Safe
pork (99%),None,Unknown,Safe
jamaican ginger,None,Unknown,Safe
corantes (caramelo,None,Unknown,Safe
riso tungo,None,Unknown,Safe
kupfersulfat,None,Unknown,Safe
colored with annatto/turmeric,None,Unknown,Safe
amandes m ion confit,None,Unknown,Safe
stremsei,None,Unknown,Safe
hoki),None,Unknown,Safe
palm or soybean,None,Unknown,Safe
hutte de cotzo,None,Unknown,Safe
cure mix (salt,None,Unknown,Safe
honey egg whites,None,Unknown,Safe
enriched pasta egg noodles (durum wheat flour,None,Unknown,Safe
lard (29g),None,Unknown,Safe
gleatin,None,Unknown,Safe
fruits de mer 8,None,Unknown,Safe
olives 92% (tonda iblea and nocellara del belice olives,None,Unknown,Safe
acidifier (citric acid),None,Unknown,Safe
thon 23%,None,Unknown,Safe
pineapple juice powder,None,Unknown,Safe
chlorophyllin),None,Unknown,Safe
aluminiumhydroxid,None,Unknown,Safe
cole slaw dressing (high fructose corn syrup,None,Unknown,Safe
pork bacon,None,Unknown,Safe
and extractives,None,Unknown,Safe
organic cane invert syrup,None,Unknown,Safe
cannelle),None,Unknown,Safe
7 % (cornichons,None,Unknown,Safe
soy lecithin polyglycerol polyricinoleate (emulsifier)),None,Unknown,Safe
sureau 100,None,Unknown,Safe
emulsifiers (soya-lecithin,None,Unknown,Safe
germes de soja (6,None,Unknown,Safe
persil 5 %,None,Unknown,Safe
moutarde-,None,Unknown,Safe
shrimp paste 2% (shrimp 83%,None,Unknown,Safe
e322(i)),None,Unknown,Safe
potassium and sodium lac,None,Unknown,Safe
ekstrakt kafe (5%),None,Unknown,Safe
honig 43%),None,Unknown,Safe
laminaria digitata),None,Unknown,Safe
champignons 8%,None,Unknown,Safe
organic black bean flakes (organic black beans,None,Unknown,Safe
seasoned ground turkey (ground turkey,None,Unknown,Safe
spices (rosemary,None,Unknown,Safe
natural smoke and grill flavors,None,Unknown,Safe
demgsel,None,Unknown,Safe
organic concentrated strawberry juice,None,Unknown,Safe
organic drago,None,Unknown,Safe
colorant de surface (caramel ordinaire),None,Unknown,Safe
soy lecithin carotene (color),None,Unknown,Safe
ail arires naturels,None,Unknown,Safe
aspergillus oryzae) 5%,None,Unknown,Safe
2g/o,None,Unknown,Safe
ail (11,None,Unknown,Safe
panais 20%),None,Unknown,Safe
palm or cottonseed shortening oil),None,Unknown,Safe
organic almonds dry roasted salted (organic almonds,None,Unknown,Safe
kollagenpeptider,None,Unknown,Safe
fat free cocoa solids,None,Unknown,Safe
niacinamide (v,None,Unknown,Safe
chub mackerel,None,Unknown,Safe
fruit juice concentrates (plum,None,Unknown,Safe
organic carrot juice (water,None,Unknown,Safe
blueberry (5%),None,Unknown,Safe
(roasted peanuts,None,Unknown,Safe
lentilles cuites 7 % (eau,None,Unknown,Safe
natamycin (a natural preservative)),None,Unknown,Safe
jasmine tea,None,Unknown,Safe
onjon powder,None,Unknown,Safe
unsalted butter (pasteurized cream (milk)),None,Unknown,Safe
strawberry filling (high fructose corn syrup,None,Unknown,Safe
niacinamide),None,Unknown,Safe
coriandre (graines et feuilles (3%)),None,Unknown,Safe
noiseitesbroyees 4%,None,Unknown,Safe
doux,None,Unknown,Safe
eau avec 30% de 202 farbstoff pasteuse jus de fruit acide ctrique,None,Unknown,Safe
sauce soja 9 % (eau,None,Unknown,Safe
bloc foie gras de canard 50 % (tole gros de canard,None,Unknown,Safe
concentrated fruit purees of peach and apricot,None,Unknown,Safe
contains less than 2% of salt,None,Unknown,Safe
miel 57,None,Unknown,Safe
habanero pepper sauce (aged habanero peppers,None,Unknown,Safe
europe 1%),None,Unknown,Safe
14 g,None,Unknown,Safe
iat en poudre entier,None,Unknown,Safe
amandes 17%,None,Unknown,Safe
jeunes carottes 30 % minimum),None,Unknown,Safe
amandes 100%,None,Unknown,Safe
lito pressad gurko,None,Unknown,Safe
42 %,None,Unknown,Safe
peanuts (20%),None,Unknown,Safe
organic erthritol,None,Unknown,Safe
organic cream and organic skim milk,None,Unknown,Safe
3% patcto,None,Unknown,Safe
blood orange concentrate,None,Unknown,Safe
10 % sesam,None,Unknown,Safe
enzymes modified milkfat,None,Unknown,Safe
gluconates de potassium,None,Unknown,Safe
filtered texas water,None,Unknown,Safe
sour cream flavor (non dairy),None,Unknown,Safe
fully cooked bacon topping (cured with water,None,Unknown,Safe
cultres,None,Unknown,Safe
potenciadores de' sabot (glutamato monos6dico,None,Unknown,Safe
potasium and sodium lactate,None,Unknown,Safe
affermissant (e 509),None,Unknown,Safe
caramel color),None,Unknown,Safe
umbromated flour (wheat flour,None,Unknown,Safe
preservatives (sodium nitrite,None,Unknown,Safe
lucuma powder,None,Unknown,Safe
cocoa micropulverizada (10-12),None,Unknown,Safe
carbohydrates 5,None,Unknown,Safe
sweet onion vinaigrette (canola oil,None,Unknown,Safe
organic gluten free oats,None,Unknown,Safe
0 g 10,None,Unknown,Safe
gomme xanthan,None,Unknown,Safe
nonfat milk solids caramel color,None,Unknown,Safe
organic soymilk (filtered water,None,Unknown,Safe
turmeric acid,None,Unknown,Safe
traubensaft 27%,None,Unknown,Safe
mechanically (expeller) pressed refined canola oil,None,Unknown,Safe
chocolat noir 28 % (sucre,None,Unknown,Safe
tea premix (tea solids,None,Unknown,Safe
zitronensaft und limettensaft (3%),None,Unknown,Safe
all natural ingredients - israeli couscous with pumpkin seeds red bell pepper,None,Unknown,Safe
salt and soy leci,None,Unknown,Safe
6%) (wasser,None,Unknown,Safe
cheddar cheese (fresh pasturized milk,None,Unknown,Safe
cooked rice (55,None,Unknown,Safe
brazil),None,Unknown,Safe
unbleached enriched flour (wheat flour malted barley flour,None,Unknown,Safe
viande de boeuf 13 %,None,Unknown,Safe
cream cheese (cultured pasteurized milk,None,Unknown,Safe
rohrzucker (52%),None,Unknown,Safe
corante (e150d),None,Unknown,Safe
ficat de porc (20%),None,Unknown,Safe
jambon de porc (70%),None,Unknown,Safe
non-gmo co,None,Unknown,Safe
infusion de sencha 92% (eau,None,Unknown,Safe
non gmo butterfly popcorn,None,Unknown,Safe
cotrate de sodium,None,Unknown,Safe
enriched wheat flour (wheat four,None,Unknown,Safe
dehydrated vegetables (jalapeno,None,Unknown,Safe
beurre de ccao,None,Unknown,Safe
galgant,None,Unknown,Safe
hydrolyzed (corn,None,Unknown,Safe
sodium aluminum phosphat,None,Unknown,Safe
coji de mandarine,None,Unknown,Safe
soybean and / or palm and / or canola oil,None,Unknown,Safe
lemon garlic,None,Unknown,Safe
dark chocolate covered raisins (chocolate l,None,Unknown,Safe
clam extract,None,Unknown,Safe
antioxidant (320),None,Unknown,Safe
riesling 1%,None,Unknown,Safe
snails,None,Unknown,Safe
garnacha,None,Unknown,Safe
fraise (2%),None,Unknown,Safe
canola oil (with ascorbic acid and roasmary added to preserve freshness),None,Unknown,Safe
lentil) potato starch,None,Unknown,Safe
natamycin (a natural mold inhibitor),None,Unknown,Safe
chocolat en poudre (6,None,Unknown,Safe
garnis de mousse au chocolat (48%),None,Unknown,Safe
leavening (sodium aluminum p,None,Unknown,Safe
cocao butter,None,Unknown,Safe
mango guava passion fruit puree (mango and guava puree,None,Unknown,Safe
pasteurized condensed skim milk,None,Unknown,Safe
sweet bbq sauce (h,None,Unknown,Safe
carmel,None,Unknown,Safe
buttermilk fat,None,Unknown,Safe
fibres alimentaires (inuline),None,Unknown,Safe
calcium disodium edta (maintains flavour),None,Unknown,Safe
catsup seasoning (sugar,None,Unknown,Safe
thickeners (pectin,None,Unknown,Safe
paprika extractives (color) and natural flavor,None,Unknown,Safe
colorants e100,None,Unknown,Safe
chicken broth (chicken stock,None,Unknown,Safe
hazelnuts paste (0,None,Unknown,Safe
contains less than 2% worcestershire sauce (distilled vinegar,None,Unknown,Safe
sugar garlic,None,Unknown,Safe
natuurlijk anillearoma,None,Unknown,Safe
gomme d'acacia (fibres),None,Unknown,Safe
conservateur (sorbates de potassium),None,Unknown,Safe
carragena,None,Unknown,Safe
e distribuito dr sicilmar srl - via scordar0,None,Unknown,Safe
white distilled),None,Unknown,Safe
brie cheese (cultured pasteurized milk and cream,None,Unknown,Safe
brisures de caramel 3,None,Unknown,Safe
contains almonds,None,Unknown,Safe
poisson 38%,None,Unknown,Safe
natural yeast (wheat),None,Unknown,Safe
natural dill flavoring,None,Unknown,Safe
calcium lactate (e327),None,Unknown,Safe
yeast nutrients (ammonium phosphate,None,Unknown,Safe
brocolis 4%,None,Unknown,Safe
leavening (bi,None,Unknown,Safe
refined sugar,None,Unknown,Safe
pincapplc,None,Unknown,Safe
farine de five,None,Unknown,Safe
organic lemon natural flavor,None,Unknown,Safe
red wine vinegar(may contain sulfites),None,Unknown,Safe
sodium bicarbonate (leaven,None,Unknown,Safe
shoyu (wasser,None,Unknown,Safe
5% schwarzer johannisbeersaft,None,Unknown,Safe
depois de aberto,None,Unknown,Safe
and chickpea flour,None,Unknown,Safe
beef fat (beef fat,None,Unknown,Safe
legume uscate 151596 (morcov,None,Unknown,Safe
white vinager,None,Unknown,Safe
bha (to protect flavor),None,Unknown,Safe
frische gurken 12%,None,Unknown,Safe
